Size,Selection,Merge,Counting
100,0.005333,0.0555,0.816417
200,0.016709,0.074458,0.423833
300,0.028667,0.11,0.424458
400,0.04775,0.13325,0.789667
500,0.071291,0.156667,0.444125
600,0.097958,0.198583,0.431833
700,0.12975,0.22675,0.43375
800,0.16475,0.262375,0.432667
900,0.204791,0.274292,0.438667
1000,0.248125,0.302166,0.448458
1100,0.3055,0.367542,0.447625
1200,0.351833,0.389583,0.444584
1300,0.403125,0.438208,0.444
1400,0.465375,0.448375,0.450875
1500,0.530167,0.48525,0.448083
1600,0.59975,0.51375,0.453209
1700,0.670709,0.537875,0.456917
1800,0.759417,0.563375,0.452459
1900,0.858209,0.641709,0.510792
2000,0.941875,0.60875,0.46575
2100,1.01267,0.673291,0.466
2200,1.09342,0.701709,0.461541
2300,1.18892,0.756208,0.535541
2400,1.29896,0.77875,0.465917
2500,1.40162,0.803042,0.470875
2600,1.51438,0.847625,0.47175
2700,1.62904,0.86475,0.471708
2800,1.74283,0.895167,0.478375
2900,1.86604,0.92525,0.479375
3000,1.99687,0.961667,0.482083
3100,2.13437,1.00283,0.4815
3200,2.27137,1.02087,0.485917
3300,2.41375,1.03817,0.488833
3400,2.55854,1.07025,0.486458
3500,2.71342,1.15879,0.534917
3600,2.88467,1.14237,0.499292
3700,3.00729,1.15879,0.496
3800,3.17925,1.23617,0.490208
3900,3.34483,1.21742,0.567875
4000,3.51454,1.23642,0.493792
4100,3.69837,1.29117,0.50375
4200,3.86321,1.34954,0.501833
4300,4.04854,1.3845,0.5015
4400,4.23538,1.42954,0.50325
4500,4.42529,1.46988,0.503
4600,4.61133,1.51075,0.506458
4700,4.80746,1.55333,0.508292
4800,5.02554,1.58638,0.509209
4900,5.23738,1.61646,0.509875
5000,5.43938,1.64971,0.51525
5100,5.65492,1.67554,0.514958
5200,5.8795,1.74133,0.513208
5300,6.10296,1.74646,0.518
5400,6.32783,1.78017,0.520375
5500,6.56608,1.80979,0.523041
5600,6.80375,1.84392,0.528041
5700,7.05879,1.88454,0.532833
5800,7.30825,1.90658,0.52375
5900,7.53292,1.93479,0.524917
6000,7.78329,1.96158,0.525916
6100,8.09421,1.99446,0.527875
6200,8.32571,2.04946,0.537417
6300,8.57471,2.07725,0.529917
6400,8.83796,2.10554,0.533958
6500,9.12283,2.11458,0.537625
6600,9.40046,2.14113,0.538167
6700,9.68425,2.19512,0.536041
6800,9.99004,2.21258,0.540875
6900,10.267,2.22704,0.5405
7000,10.5453,2.27546,0.580875
7100,11.817,2.3465,0.852417
7200,11.5297,2.33721,0.610375
7300,11.6,2.33887,0.594667
7400,11.911,2.40796,0.586209
7500,12.0945,2.41346,0.5575
7600,12.4524,2.43829,0.559917
7700,12.7876,2.46525,0.553917
7800,13.0661,2.50325,0.600959
7900,13.5582,2.52696,0.590333
8000,13.8894,2.55504,0.568875
8100,14.161,2.534,0.568875
8200,14.5943,2.64633,0.726208
8300,14.8474,2.71171,0.687959
8400,15.2662,2.76317,0.610125
8500,15.526,2.82713,0.576458
8600,15.8769,2.84596,0.594959
8700,16.219,2.89371,0.577875
8800,16.5998,2.974,0.600125
8900,16.9509,3.00283,0.585833
9000,17.3462,3.03333,0.574792
9100,17.7245,3.09563,0.609333
9200,18.287,3.11446,0.605291
9300,18.5063,3.15321,0.578125
9400,18.8804,3.18733,0.588375
9500,19.2933,3.22487,0.586334
9600,19.7904,3.26046,0.609792
9700,20.1965,3.32696,0.631792
9800,20.5337,3.34362,0.625917
9900,21.0175,3.4125,0.642375
10000,21.4488,3.44713,0.630125
